_id,_name,_description,_salary
18322907,senior php developer,"ecommpay it - европейская высокотехнологичная компания, предлагающая комплексные решения по приему и обработке онлайн платежей в сфере эквайринговых cnp решений и мобильной коммерции. ecommpay it входит в группу компаний ecommpay, которая является провайдером инновационных и уникальных платежных решений для широкого круга проектов э-коммерции во всех странах мира. компания успешно продвигает инновационные финансовые решения в области электронных платежей и уже реализовала более 30-ти крупных e- и m-commerce проектов. благодаря команде ит-профессионалов платежной индустрии, качественному менеджменту и собственному отлаженному производству программного обеспечения. ecommpay it помогает своим клиентам запускать новые эффективные продукты и услуги.   мы ищем в команду опытных разработчиков, увлеченных своим делом, которые готовы участвовать в разработке большого проекта.   чем придётся заниматься:  разрабатывать приложение по приему и обработке онлайн платежей в сфере эквайринговых cnp решений и мобильной коммерции; активно участвовать во всём процессе разработки, начиная с проектирования и заканчивая запуском и поддержкой; активно взаимодействовать с коллегами, обсуждать дизайн приложений; предлагать и внедрять высокотехнологичные, инновационные решения; оптимизировать приложение, искать узкие места, при необходимости придумывать и реализовывать средства визуализации и мониторинга;    что нужно знать и уметь:  php - сильные и слабые стороны языка; иметь опыт проектирования реляционных баз данных (postgresql, mysql), опыт работы с большими объемами данных; понимать стратегию оптимизации приложений; иметь опыт разработки проектов с помощью одного из framework-ов: yii, onphp; обладать бойцовскими качествами, быть ориентированным на результат; уметь соблюсти срок или вовремя сигнализировать о проблемах;    условия:  отличная команда профессионалов; официальное оформление; гибкий график работы; офис – м.павелецкая, бесплатный шаттл от метро; бесплатное обучение английскому языку в офисе; бесплатное питание; корпоративные спортивные мероприятия; возможность профессионального роста и развития. ",147500
18809284,senior frontend developer,"русскоязычная команда программистов компании cloud system science ищет талантливого frontend разработчика с отличным знанием javascript, angular, html5 и css3 для создания user interface для web applications.   о компании: британская компания cloud system science создает программные системы на microsoft azure cloud. мы используем новейшие технологии по всему стеку: angular 2, typescript 2, ms sql server, c# 6, visual studio 2015, vsts.   тип работы:   работа удаленная из домашнего офиса - город проживания значения не имеет.     наши требования:   ответственность и профессионализм, готовность выполнять удаленную работу 8 часов в день;   отличные знания javascript, html5 и css3;   знание и понимание restful api;   понимание дизайна и графики;   опыт работы с javascript frameworks (angular, react etc.), libraries and tools;   опыт работы с bootstrap;   умение эффективно и быстро работать;   опыт разработки user interface для web;   средний английский.     условия:   долговременная, постоянная работа по контракту;   опытная слаженная англо и русско-говорящая команда;   высокая заработная плата в надежной валюте;   участие в создании нового frontend’а с начала;   интересные, сложные задачи;   гибкий график приближенный к edt.     кандидатов просим присылать ответы на вопросы:  какой уровень знания технического английского по 10-бальной системе: (out of 10 marks, 1=worst 10=best) reading /10 writing /10 listening /10 speaking /10 ? какое требование по вознаграждению в usd в месяц?    возможный срок реакции на ваш отклик: до 14 дней.",120000
18686089,"старший разработчик c#, asp.net mvc","&quot;додо пицца&quot; ищет талантливых разработчиков c# / asp.net mvc / mysql.   додо пицца - это сеть пиццерий, которая насчитывает более 100 пиццерий в россии, сша, китае, эстонии, литве, румынии и казахстане. в то же время додо пицца - это it компания, которая собственными силами разрабатывает информационную систему dodo is, автоматизирующую все бизнес-процессы, происходящие внутри пиццерии!   кого мы хотели бы видеть:  в данный момент додо пицца ищет старшего разработчика c# / asp.net mvc / mysql, который будет вместе с нами работать над созданием облачной информационной системы по управлению предприятием, производством, сетью франчайзи - dodo is. вы будете тесно взаимодействовать с бизнесом, владельцем продукта, командой аналитиков. скучно не будет!    мы ожидаем, что вы:  отлично знаете c#; отлично знаете asp.net mvc; отлично знаете бд mysql или ms sql server (мы используем mysql, но готовы взять кандидата с отличным знанием sql server); знаете веб-технологии (html, css, javascript, jquery); умеете работать с распределенными системами контроля версий.    в ответ мы предлагаем вам:  работу в московском офисе компании &quot;додо пицца&quot;; белую заработную плату от 160 до 210 тысяч рублей; постоянное обучение и быстрый профессиональный рост; возможность участия в опционной программе компании.    чтобы присоединиться к нашей дружной команде, необходимо будет выполнить тестовое задание, которое будет направлено вам после отклика на данную вакансию.",185000
18714668,web-программист,"  требования:  знание php, javascript, html, css, парадигма ооп, пунктуальность, целеустремлённость.  обязанности:  разработка web сервиса и интернет-магазина .  условия:  график работы понедельник-пятница с 10 до 18-00. ",45000
18774080,разработчик мобильных приложений под android,"английский стартап - мобильное приложение для киноиндустрии - открывает вакансию мобильного разработчика под android в москве.   обязанности: • развитие и сопровождение существующего мобильного приложения под android• следование процессу разработки, принятому в команде.• написание технических спецификаций, авто-тесты, публикация в googleplay• участие на всех стадиях жизненного циклах по. требования к кандидату: • высшее техническое образование.• опыт разработки приложений под android от 3 лет.• знание java, принципов ооп.• обладание ключевыми навыками: android sdk/ndk, xml, json, sqlite, sql• опыт работы с одной из систем контроля версий - git (предпочтительно), mercurial, svn• английский язык на уровне чтения технической документации. желательно: • опыт разработки с использованием геолокации, библиотек работы со звуком, drm.• понимание принципов многопоточного программирования.• наличие опубликованных приложений в googleplay.• опыт работы в команде разработчиков. условия: • заработная плата от 130 т.р. в месяц (по результатам собеседования).• возможность удаленной работы.",155000
18755259,ios разработчик,"компания-разработчик социальных и мобильных игр “капитан джек” приглашает на работу ios-программиста. будем рады видеть в команде профессионального, ответственного человека, способного создавать качественный продукт. в свою очередь, предлагаем вам участие в интересных, успешных проектах с реальной перспективой карьерного роста.   обязанности:  разработка игровых приложений под ios    обязательные требования:  отлично знать objective-c, ios sdk знать особенности разработки под ios отлично владеть ооп, знать и уметь применять шаблоны проектирования (gof) опыт разработки клиент-серверных приложений уметь пользоваться системами контроля версий (git, subversion) писать понятный, поддерживаемый код уметь работать в команде самостоятельность  желательно:  swift любовь к программированию стремление к самосовершенствованию    условия:  современный светлый офис (панорамная терраса, комната отдыха, душ и т.п.) в 10 минутах от метро тушинская достойная зарплата парковка для сотрудников на территории бц удобный график работы лояльное руководство и дружный коллектив ",225000
18755204,системный администратор,"требования к соискателю:  высшее образование, желательно в области информационных технологий, опыт работы по специальности от 3-х лет. опыт администрирования домена active directory под управлением windows server 2003 (использование групповых политик). опыт организации локальных компьютерных сетей, начиная от проектирования до фактической прокладки кабеля и устройства инфраструктуры, желательны навыки администрирования и работы с субд (mssql, mysql, postgresql). желательны навыки использования языков программирования с динамической типизацией (php, python, jscript) для автоматизации задач администрирования. знание основ и понимание принципов работы следующих протоколов: ethernet, ip, icmp, tcp, udp, ldap, dns, dhcp, netbios, cifs, http. приветствуется знание принципов работы протоколов ip-телефонии (в частности sip, rtp, rtcp). приветствуется знание протоколов передачи видео по ip-сетям. желательны навыки использования и администрирования *nix систем и oc linux в частности. исполнительность, ответственность, коммуникабельность, энергичность, наличие желания изучать новые технологии и применять их в повседневной деятельности.  обязанности:  администрирования локального домена (более 50 пользователей), ограничение прав доступа к ресурсам сети. настройка и устранение неисправностей вычислительной техники, периферии и серверного оборудования. организация локальной сети и коммуникаций. оказание помощи пользователям на рабочих местах. подбор и закупка комплектующих и устройств. установка и настройка по.  условия работы:  заработная плата от 65000 руб.; график: пн–пт; престижная работа; возможность карьерного и профессионального роста; благоприятные условия работы, дружный коллектив; бесплатное питание. проезд: 15 минут от м. полежаевская (рядом с третьим транспортным кольцом). ",65000
18714354,php-программист yii,"интернет-агентство binn стабильно занимает ведущие позиции на рынке веб-разработок с 2001 года. за это время были разработаны более 470 веб-сайтов и порталов различной степени сложности, каждый из которых отличают свои особенности и задачи. некоторые наши постоянные клиенты - вольво, бмв банк, росбанк, газпромбанк, росно, sgi (сосьете женераль страхование). также работаем с госсектором. мы ищем не только готового профессионала, но и того, кто хочет им стать.   обязанности:  командная работа над проектами на базе фреймворка yii. участие в разработке высоконагруженных проектов.    требуется:  опыт работы по направлению от 2-х лет.. отличное знание php и основных принципов ооп. понимание и применение на практике основных паттернов проектирования. опыт работы с фреймворком yii1/yii2 (или других mvc-фреймворков). отличное знание языка запросов sql (mysql, ms sql). работа с nosql бд (redis, mongodb). опыт работы с шаблонизатором twig. отличное знание javascript (ajax, фреймворк jquery), xml, json, html, css. опыт работы с системой контроля версий git. умение быстро разбираться в чужом коде. наличие успешно реализованных проектов, примеров кода, резюме. твёрдые знания принципов и технологий работы веб-сайтов. усидчивость, внимательность, самостоятельность. умение работать в команде.    приветствуется:  высшее техническое образование. опыт разработки высоконагруженных приложений. опыт написания автоматических тестов (unit, functional и т.п.). опыт интеграции различных систем, посредством api, в т.ч. написание собственных api. знание в области администрирования web-серверов.    условия:  работа в офисе или удалённо на полный рабочий день: москва, проспект андропова, бц нагатинский, м. коломенская; (5 минут пешком). оформление: по тк рф. испытательный срок: 2 месяца. заработная плата: от 70 000 руб.. график работы: 5/2, 09.00-18.00 или 10.00-19.00 или мы подберём для вас оптимальные часы работы. ",70000
18773657,разработчик javascript,"ищем разработчика на постоянную работу и полный рабочий день для работы над браузерной игрой.   требования:  знание html5; знание canvas; умение писать на &quot;чистом&quot; javascript с минимальным использованием сторонних библиотек; обязательно необходим опыт написания кроссбраузерного кода; опыт тестирования javascript; желание работать и развиваться; умение планировать и организовывать свою работу;  условия:  гибкий график; работа в офисе; своевременная оплата труда; ежегодные премии по результатам работы; карьерный рост; оформление по тк;  обязанности:  проектирование, разработка и поддержка front-end; ",90000
18553545,senior php developer (high load),"senior high load developer a flexible, full-time, remote senior position is available at interpals, a popular social networking site that connects people around the world for friendship, language practice, travel, and more. the site has over 4 million active users. our user base is extremely enthusiastic and dedicated. the codebase mainly php, with some golang services, on a lemp stack for a high load website: sharded mysql, redis, elastic, rabbitmq. we use some aws services (s3, ses). frontend is basic css/html/js (for now, largely jquery), but plan to refactor to react with new design. we use our own homegrown mvc framework with advanced caching capabilities. your role:  implement and oversee implementation of new features promote best practices, both code and process-related coordinate with frontend / designers to update site design and implement mobile version review and offer feedback on code written by other developers  requirements:  php experience, high load is a plus. keen on performance while maintaining high code quality. substantial experience with other languages, not just php. mysql - some tuning and optimizing queries javascript, redis, html/css, linux, git. unit testing. mvc. ability to write lean, scalable, but also secure, modern, readable, maintainable, testable, well-documented code excellent communication skills, intermediate written english (meetings are mainly in russian, but you should understand spoken english too); self-starting, takes initiative and result-oriented  you will be focusing on the backend, but we&#39;re a small team, so you should be fairly comfortable with front-end code and basic system administration tasks on linux too. if you like front-end development (esp. javascript frameworks like react) or have mobile (ios, android) experience this is a plus, but not required. some upcoming projects include: refactoring the codebase for maintainability and performance, new site design and mobile version, full i18n/l10n of site, improving spam detection with ml and crowdsourcing techniques, introducing virtual currency and payment processing for premium features. what we offer:  flexible hours, remote work environment with skype/slack communication competitive compensation, commensurate with experience. super-friendly team and occasional team get-togethers founder is a developer as well, will appreciate your great code and effort  location: we are usually based in moscow, but work remotely at this time with weekly meetings, in-person if in town with skype for other members. how to apply: interested? we&#39;d love to hear from you! send us a cover letter containing:  a introductory message telling us why you&#39;re a good fit for this job your cv/resume your city and which timezone it&#39;s in (optional, but helpful) github, stackoverflow profiles, code examples, links to projects you are involved in and/or other cool things you think we should see ",150000
