marker,n_vacancies,median_salary,big_salary,std_salary_percent
sql,754,100000,145000,34
mobile,22,100000,163500,42
scala,21,150000,200000,27
android,99,120000,170000,34
windows,80,90000,150000,38
ruby,39,100000,200000,38
ios,96,120000,182500,33
javascript,429,100000,140000,33
jquery,269,90000,135000,34
hadoop,9,140000,200000,24
web,390,100000,150000,36
gui,22,107500,164500,37
django,32,100000,144000,25
office,45,100000,158000,45
microsoft,55,97000,136000,36
1с,393,95000,137400,36
apple,18,142500,195500,25
rails,22,97500,133500,30
c#,143,110000,150000,29
html,455,90000,140000,39
css,416,90000,140000,38
php,382,85000,135000,39
angular,130,110000,150000,27
react,102,120000,150000,22
google,48,107500,151500,34
oracle,103,105000,150000,33
wordpress,31,55000,95000,41
excel,34,87500,150000,46
xml,108,100000,140000,32
delphi,23,95000,123000,37
linux,209,100000,148000,33
matlab,14,75000,165500,65
big data,6,146250,200000,34
apache,45,100000,140000,34
frontend,65,100000,150000,32
python,121,100000,170000,37
facebook,17,105000,124000,26
c++,101,110000,170000,37
perl,23,95000,144000,28
backend,53,120000,150000,33
git,429,100000,150000,32
